"charset","server","content_length","tcp_conversation_exchange","remote_ips","app_packets","dns_query_times","freq","app_packets_v2"
"iso-8859-1","nginx",263,7,2,9,2,47,"low"
"utf-8","Apache",15087,17,4,17,0,3,"low"
"iso-8859-1","nginx",162,31,3,39,8,39,"medium"
"iso-8859-1","Apache",345,12,3,14,2,21,"low"
"iso-8859-1","nginx",3692,25,4,35,10,48,"medium"
"iso-8859-1","Apache",957,7,1,11,4,32,"low"
"iso-8859-1","nginx",686,6,2,8,2,47,"low"
"us-ascii","Microsoft",324,7,3,7,0,0,"low"
"utf-8","nginx",15025,13,5,15,2,42,"low"
"us-ascii","Microsoft",324,9,4,11,2,11,"low"
"iso-8859-1","nginx",318,8,6,8,0,25,"low"
"iso-8859-1","Apache",224,4,2,4,0,11,"low"
"utf-8","Apache",4421,12,2,16,4,31,"low"
"iso-8859-1","Apache",240,8,2,10,2,23,"low"
"iso-8859-1","Apache",3985,40,16,46,6,0,"medium"
"iso-8859-1","nginx",6173,2,1,2,0,41,"low"
"iso-8859-1","Apache",319,7,2,9,2,22,"low"
"utf-8","other",1778,7,3,7,0,0,"low"
"us-ascii","Microsoft",324,6,4,6,0,0,"low"
"iso-8859-1","Apache",224,19,4,23,4,23,"medium"
"iso-8859-1","Apache",318,21,8,25,4,18,"medium"
"iso-8859-1","Apache",345,19,9,21,2,4,"medium"
"utf-8","Apache",756,23,15,27,4,5,"medium"
"us-ascii","Microsoft",324,5,4,5,0,1,"low"
"utf-8","nginx",658,11,4,15,4,50,"low"
"iso-8859-1","nginx",4166,24,3,30,6,60,"medium"
"iso-8859-1","Apache",962,9,4,11,2,19,"low"
"iso-8859-1","Apache",962,7,2,11,4,30,"low"
"iso-8859-1","Apache",962,7,2,11,4,30,"low"
"utf-8","Apache",3548,13,1,19,6,41,"low"
"iso-8859-1","nginx",5426,9,4,9,0,27,"low"
"iso-8859-1","Apache",345,43,2,47,4,29,"medium"
"utf-8","Apache",8756,38,3,44,6,36,"medium"
"utf-8","Apache",193,9,1,11,2,26,"low"
"utf-8","Apache",7967,6,4,8,2,21,"low"
"us-ascii","Microsoft",324,5,2,9,4,22,"low"
"us-ascii","Microsoft",324,5,3,5,0,2,"low"
"utf-8","Apache",8578,21,5,29,8,32,"medium"
"utf-8","Apache",10576,14,2,14,0,4,"low"
"us-ascii","Microsoft",324,17,7,23,6,20,"medium"
"utf-8","Amazon",12846,17,3,23,6,3,"medium"
"utf-8","other",6666,66,11,70,4,1,"high"
"iso-8859-1","Apache",445,28,8,30,2,5,"medium"
"us-ascii","Microsoft",324,33,4,39,6,0,"medium"
"iso-8859-1","Apache",7314,34,2,40,6,36,"medium"
"us-ascii","Microsoft",324,5,2,7,2,15,"low"
"iso-8859-1","Apache",26856,26,5,30,4,14,"medium"
"us-ascii","Microsoft",324,12,6,12,0,0,"low"
"utf-8","Apache",10210,5,2,5,0,11,"low"
"iso-8859-1","Apache",13684,15,7,15,0,0,"low"
"iso-8859-1","nginx",770,5,3,5,0,34,"low"
"utf-8","Apache",6813,17,10,17,0,0,"low"
"us-ascii","Microsoft",324,34,6,38,4,3,"medium"
"utf-8","other",20404,33,5,37,4,10,"medium"
"utf-8","Apache",7159,21,11,23,2,1,"medium"
"iso-8859-1","Apache",177,7,2,9,2,22,"low"
"utf-8","Apache",14703,2,1,2,0,15,"low"
"utf-8","nginx",8751,15,6,19,4,47,"low"
"us-ascii","Microsoft",324,90,14,92,2,0,"high"
"utf-8","Amazon",350,23,10,27,4,0,"medium"
"us-ascii","Microsoft",324,7,2,11,4,22,"low"
"utf-8","other",4075,4,2,4,0,6,"low"
"iso-8859-1","Apache",287,5,1,9,4,31,"low"
"utf-8","Apache",5132,27,3,33,6,37,"medium"
"us-ascii","Microsoft",324,23,4,29,6,25,"medium"
"us-ascii","Microsoft",324,18,3,22,4,2,"medium"
"us-ascii","Microsoft",324,103,3,105,2,10,"high"
"utf-8","nginx",643,22,5,30,8,64,"medium"
"utf-8","nginx",637,14,4,20,6,59,"high"
"utf-8","other",420762,17,8,19,2,0,"low"
"utf-8","Microsoft",328,5,2,5,0,1,"low"
"us-ascii","Microsoft",324,11,6,11,0,0,"low"
"iso-8859-1","Apache",199,6,4,6,0,8,"low"
"iso-8859-1","Apache",334,8,4,10,2,17,"low"
"iso-8859-1","Apache",287,71,3,73,2,16,"high"
"utf-8","Apache",20212,43,14,49,6,0,"medium"
"utf-8","other",11827,38,5,42,4,15,"medium"
"iso-8859-1","nginx",1108,13,2,17,4,54,"low"
"utf-8","nginx",646,13,5,17,4,50,"low"
"utf-8","nginx",637,23,5,31,8,65,"medium"
"utf-8","nginx",640,18,5,24,6,57,"medium"
"utf-8","nginx",643,4,4,4,0,38,"low"
"utf-8","other",60722,4,3,4,0,1,"low"
"utf-8","Microsoft",39,24,4,28,4,15,"medium"
"utf-8","Amazon",1371,19,3,27,8,27,"medium"
"utf-8","nginx",655,27,8,35,8,54,"medium"
"utf-8","nginx",649,15,5,21,6,57,"medium"
"iso-8859-1","Apache",214,9,4,11,2,18,"low"
"utf-8","Apache",6474,6,4,6,0,9,"low"
"iso-8859-1","Apache",1486,5,2,5,0,10,"low"
"utf-8","Apache",10892,3,1,3,0,14,"low"
"utf-8","Amazon",7255,17,2,23,6,20,"medium"
"utf-8","other",6608,42,3,46,4,22,"medium"
"iso-8859-1","Apache",111,21,5,23,2,16,"medium"
"iso-8859-1","nginx",996,7,2,11,4,55,"low"
"iso-8859-1","nginx",1501,23,11,29,6,42,"medium"
"iso-8859-1","Apache",7314,39,3,45,6,34,"medium"
"iso-8859-1","Apache",7314,39,2,45,6,35,"medium"
"utf-8","nginx",652,15,5,21,6,57,"medium"
"utf-8","nginx",652,21,5,29,8,64,"medium"
"utf-8","nginx",646,12,5,16,4,50,"low"
"utf-8","nginx",652,19,5,25,6,57,"medium"
"utf-8","nginx",652,18,5,24,6,57,"medium"
"utf-8","nginx",652,19,5,25,6,57,"medium"
"utf-8","nginx",652,23,5,31,8,64,"medium"
"us-ascii","Microsoft",324,22,8,24,2,0,"medium"
"us-ascii","Microsoft",324,49,6,53,4,1,"high"
"utf-8","nginx",39362,4,2,4,0,34,"low"
"utf-8","other",14462,8,6,8,0,0,"low"
"iso-8859-1","Apache",289,5,3,5,0,8,"low"
"us-ascii","Microsoft",324,23,5,29,6,14,"medium"
"utf-8","other",38115,45,7,49,4,9,"medium"
"utf-8","other",8813,41,4,45,4,12,"medium"
"iso-8859-1","Apache",1002,32,8,36,4,12,"medium"
"iso-8859-1","Apache",330,16,8,18,2,0,"low"
"utf-8","nginx",655,208,9,228,20,74,"high"
"utf-8","nginx",655,7,5,11,4,50,"low"
"utf-8","nginx",655,17,7,23,6,54,"medium"
"utf-8","nginx",646,11,4,15,4,52,"low"
"utf-8","nginx",655,21,5,29,8,64,"medium"
"utf-8","nginx",655,19,5,27,8,64,"medium"
"utf-8","Apache",19879,61,6,65,4,12,"high"
"us-ascii","Microsoft",324,8,2,10,2,15,"low"
"iso-8859-1","Amazon",210,3,1,5,2,7,"low"
"iso-8859-1","nginx",3326,14,5,16,2,33,"low"
"iso-8859-1","Apache",293,12,4,16,4,26,"low"
"iso-8859-1","Apache",231,7,2,9,2,22,"low"
"utf-8","Apache",11418,17,4,21,4,27,"medium"
"iso-8859-1","nginx",162,1,1,3,2,49,"low"
"iso-8859-1","Apache",188,19,6,21,2,15,"medium"
"utf-8","Apache",8022,23,8,23,0,0,"medium"
"utf-8","nginx",32441,11,7,11,0,17,"low"
"iso-8859-1","other",7891,6,2,6,0,1,"low"
"utf-8","Apache",1840,8,5,8,0,5,"low"
"iso-8859-1","Apache",12768,6,3,6,0,7,"low"
"iso-8859-1","nginx",4297,16,6,22,6,53,"medium"
"utf-8","nginx",135444,68,7,70,2,20,"high"
"utf-8","other",616,18,10,26,8,20,"medium"
"iso-8859-1","Apache",337,14,6,14,0,2,"low"
"utf-8","nginx",661,22,5,30,8,64,"medium"
"iso-8859-1","Apache",2516,15,2,21,6,36,"medium"
"iso-8859-1","Apache",2516,19,3,25,6,33,"medium"
"iso-8859-1","nginx",215,7,2,9,2,47,"low"
"utf-8","Apache",68067,19,3,23,4,24,"medium"
"utf-8","Apache",1172,4,2,4,0,13,"low"
"us-ascii","Microsoft",324,6,3,6,0,0,"low"
"utf-8","other",618,46,7,54,8,8,"high"
"us-ascii","Microsoft",324,23,7,29,6,12,"medium"
"us-ascii","Microsoft",324,13,7,15,2,0,"low"
"utf-8","Apache",9555,23,9,27,4,12,"medium"
"utf-8","Apache",1840,23,8,27,4,5,"medium"
"utf-8","Microsoft",4929,16,5,20,4,14,"high"
"utf-8","Apache",12400,16,3,22,6,37,"medium"
"utf-8","Apache",42952,35,2,41,6,0,"medium"
"utf-8","other",7868,44,4,50,6,27,"high"
"utf-8","nginx",637,4,4,4,0,37,"low"
"utf-8","nginx",640,11,4,15,4,51,"low"
"utf-8","nginx",640,26,8,32,6,46,"medium"
"utf-8","nginx",661,20,6,26,6,56,"medium"
"iso-8859-1","Apache",2516,20,2,26,6,36,"medium"
"iso-8859-1","nginx",216,8,1,12,4,56,"low"
"utf-8","Apache",9050,22,9,22,0,0,"medium"
"utf-8","other",620,3,1,3,0,8,"low"
"iso-8859-1","Amazon",889,10,5,10,0,0,"low"
"iso-8859-1","nginx",1502,8,6,8,0,27,"low"
"iso-8859-1","Apache",340,11,5,11,0,3,"low"
"iso-8859-1","Apache",1002,10,7,14,4,18,"low"
"utf-8","Apache",431,9,1,11,2,26,"low"
"iso-8859-1","nginx",1500,40,12,46,6,28,"medium"
"us-ascii","Microsoft",324,12,9,14,2,0,"low"
"utf-8","Apache",8507,13,7,17,4,18,"low"
"iso-8859-1","nginx",121211,35,2,38,2,14,"medium"
"utf-8","nginx",637,12,5,16,4,49,"low"
"utf-8","nginx",640,12,4,18,6,59,"low"
"utf-8","nginx",643,11,4,15,4,51,"low"
"utf-8","nginx",667,21,5,29,8,64,"medium"
"utf-8","nginx",667,19,5,25,6,57,"medium"
"utf-8","Apache",3016,11,2,17,6,39,"low"
"iso-8859-1","Apache",2516,19,2,25,6,36,"medium"
"utf-8","Apache",7942,8,2,12,4,31,"low"
"utf-8","other",4692,7,3,7,0,3,"low"
"utf-8","other",9433,3,1,3,0,8,"low"
"us-ascii","Microsoft",324,3,1,3,0,5,"low"
"utf-8","Amazon",11590,156,12,162,6,0,"high"
"iso-8859-1","Apache",230,5,3,5,0,9,"low"
"iso-8859-1","other",618,24,4,26,2,4,"medium"
"utf-8","other",622,8,3,14,6,30,"low"
"us-ascii","Microsoft",324,22,2,24,2,15,"medium"
"iso-8859-1","nginx",1108,15,4,19,4,38,"low"
"utf-8","Microsoft",63279,56,8,60,4,0,"high"
"iso-8859-1","Apache",15240,8,1,12,4,25,"low"
"utf-8","Apache",65993,24,9,28,4,14,"medium"
"utf-8","nginx",15363,20,9,24,4,36,"medium"
"utf-8","other",38119,38,3,44,6,26,"medium"
"utf-8","nginx",643,9,3,13,4,54,"low"
"utf-8","nginx",670,15,5,21,6,57,"medium"
"iso-8859-1","Apache",2516,24,2,30,6,35,"medium"
"utf-8","other",27103,22,3,26,4,20,"medium"
"iso-8859-1","nginx",218,7,1,11,4,56,"low"
"iso-8859-1","nginx",318,8,2,14,6,62,"low"
"utf-8","Apache",7065,5,3,6,0,0,"low"
"iso-8859-1","other",10588,20,2,22,2,14,"medium"
"iso-8859-1","Apache",281,18,3,22,4,28,"medium"
"us-ascii","Microsoft",324,10,5,14,4,13,"low"
"iso-8859-1","Apache",13,8,8,8,0,0,"low"
"utf-8","nginx",646,7,5,11,4,50,"low"
"utf-8","nginx",673,18,4,24,6,59,"medium"
"utf-8","nginx",673,18,5,24,6,57,"medium"
"iso-8859-1","Apache",2516,24,2,30,6,35,"medium"
"iso-8859-1","Apache",2516,25,2,31,6,35,"medium"
"iso-8859-1","Apache",2516,23,2,29,6,35,"medium"
"iso-8859-1","Apache",2516,25,2,31,6,35,"medium"
"iso-8859-1","Apache",895,15,6,19,4,22,"low"
"utf-8","Apache",7509,7,2,13,6,39,"low"
"iso-8859-1","Apache",5127,4,2,4,0,10,"low"
"utf-8","Apache",2766,33,9,41,8,29,"medium"
"utf-8","Apache",10561,15,4,19,4,22,"low"
"utf-8","Apache",8769,5,3,7,2,22,"low"
"utf-8","other",12608,71,13,77,6,0,"high"
"us-ascii","Microsoft",324,29,15,33,4,0,"medium"
"utf-8","Apache",94,14,3,16,2,23,"low"
"utf-8","nginx",646,11,4,15,4,51,"low"
"utf-8","nginx",673,18,5,24,6,57,"medium"
"iso-8859-1","Apache",2516,23,2,29,6,35,"medium"
"utf-8","Apache",7550,11,1,13,2,25,"low"
"iso-8859-1","Apache",236,16,1,18,2,24,"low"
"us-ascii","Microsoft",324,39,5,43,4,4,"medium"
"utf-8","nginx",13089,4,2,4,0,37,"low"
"utf-8","Apache",19724,4,2,4,0,11,"low"
"utf-8","other",389,83,3,87,4,19,"high"
"us-ascii","Microsoft",324,25,6,31,6,20,"medium"
"us-ascii","Microsoft",324,17,3,23,6,18,"medium"
"iso-8859-1","Apache",497,45,7,51,6,23,"high"
"utf-8","other",20592,64,13,69,4,0,"high"
"iso-8859-1","Apache",2516,22,2,28,6,35,"medium"
"iso-8859-1","nginx",1511,6,3,6,0,32,"low"
"utf-8","Apache",45958,6,3,6,0,3,"low"
"iso-8859-1","Microsoft",11,40,5,42,2,0,"medium"
"us-ascii","Microsoft",324,26,6,32,6,9,"medium"
"utf-8","Apache",44446,157,5,159,2,9,"high"
"iso-8859-1","Apache",338,9,2,11,2,22,"low"
"iso-8859-1","Apache",345,12,3,14,2,15,"low"
"utf-8","Apache",25825,71,6,79,8,35,"high"
"iso-8859-1","nginx",1501,53,8,61,8,28,"high"
"utf-8","nginx",10198,17,4,23,6,44,"medium"
"iso-8859-1","Apache",360,16,4,20,4,22,"high"
"iso-8859-1","other",16525,10,5,14,4,16,"low"
"iso-8859-1","nginx",326,7,2,11,4,54,"low"
"utf-8","Apache",3042,14,7,18,4,22,"low"
"utf-8","other",41547,8,3,8,0,0,"low"
"utf-8","nginx",39,4,2,6,2,49,"low"
"utf-8","Apache",44447,185,2,187,2,15,"high"
"iso-8859-1","Amazon",226,44,2,46,2,3,"medium"
"iso-8859-1","Apache",217,28,5,30,2,13,"medium"
"utf-8","other",4695,40,2,46,6,0,"medium"
"utf-8","other",636,46,8,54,8,0,"high"
"iso-8859-1","Apache",191,3,1,3,0,16,"low"
"utf-8","Apache",23771,19,2,23,4,29,"medium"
"us-ascii","Microsoft",324,28,9,36,8,11,"medium"
"utf-8","nginx",9194,9,5,14,4,30,"low"
"utf-8","nginx",649,11,3,15,4,54,"low"
"iso-8859-1","nginx",221,7,2,9,2,46,"low"
"utf-8","other",4698,46,2,54,8,0,"high"
"iso-8859-1","Apache",2393,29,4,35,6,14,"medium"
"utf-8","Apache",22479,7,4,7,0,4,"low"
"iso-8859-1","Apache",344,5,3,5,0,8,"low"
"utf-8","other",17810,50,5,58,8,0,"high"
"utf-8","Apache",193,7,2,11,4,32,"low"
"utf-8","other",630,38,10,48,10,15,"medium"
"iso-8859-1","nginx",2886,74,2,78,4,45,"high"
"iso-8859-1","nginx",1510,20,6,24,4,43,"medium"
"iso-8859-1","nginx",1511,44,7,50,6,36,"high"
"utf-8","Apache",66804,44,7,48,4,14,"medium"
"iso-8859-1","nginx",1519,21,3,25,4,51,"medium"
"iso-8859-1","Apache",235,12,3,16,4,27,"low"
"iso-8859-1","nginx",166,25,4,29,4,50,"medium"
"iso-8859-1","Microsoft",8745,28,3,30,2,6,"medium"
"iso-8859-1","Apache",333,125,1,129,4,28,"high"
"utf-8","other",6984,33,5,43,10,41,"medium"
"utf-8","Apache",10303,197,3,200,2,0,"high"
"utf-8","Apache",17647,9,5,9,0,1,"low"
"iso-8859-1","other",1148,11,7,11,0,0,"low"
"iso-8859-1","Apache",479,31,8,35,4,9,"medium"
"utf-8","Apache",10804,4,4,6,2,17,"low"
"utf-8","Apache",14889,9,2,13,4,29,"low"
"utf-8","Apache",9527,23,4,29,6,32,"medium"
"iso-8859-1","other",345,17,10,19,2,0,"low"
"utf-8","nginx",640,23,4,31,8,66,"medium"
"iso-8859-1","Apache",2516,22,2,28,6,35,"medium"
"iso-8859-1","Apache",2516,24,2,30,6,35,"medium"
"iso-8859-1","other",299,7,3,7,0,0,"low"
